id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
24257229,鼠疫,"阿尔贝•加缪（1913—1960）是法国声名卓著的小说家、散文家和剧作家，“存在主义”文学的大师。1957年因“热情而冷静地阐明了当代向人类良知提出的种种问题”而获诺贝尔文学奖，是有史以来最年轻的诺奖获奖作家之一。
加缪在他的小说、戏剧、随笔和论著中深刻地揭示出人在异己的世界中的孤独、个人与自身的日益异化，以及罪恶和死亡的不可避免，但他在揭示出世界的荒诞的同时却并不绝望和颓丧，他主张要在荒诞中奋起反抗，在绝望中坚持真理和正义，他为世人指出了一条基督教和马克思主义以外的自由人道主义道路。他直面惨淡人生的勇气，他“知其不可而为之”的大无畏精神使他在第二次世界大战之后不仅在法国，而且在欧洲并最终在全世界成为他那一代人的代言人和下一代人的精神导师。",https://dou.img.lithub.cc/book/24257229.jpg,2013-8,https://book.douban.com/subject/24257229/,9.1,,,,,2024-03-14 13:03:44,[法] 阿尔贝·加缪 / 2013 / 上海译文出版社
2053249,麦田里的守望者,"这本小说一出版，就受到国内青少年的热烈欢迎，认为它道出了自己的心声，一时大、中学校的校园里到处都模仿小说主人公霍尔顿——他们在大冬天身穿风衣，倒戴着红色猎人帽，学着霍尔顿的言语动作。甚至在1960年代初期，外国学者只要跟美国学生一谈到文学，他们就马上提出了《麦田里的守望者》。
《麦田里的守望者》之所以受到重视，不仅是由于作者创造了一种新颖的艺术风格，通过第一人称以青少年的说话口吻叙述全书，更重要了资本主义社会精神文明的实质。人活着除了物质生活外，还要有精神生活，而且在一个比较富裕的社会里，精神生活往往比物质生活更为重要。
主人公是16岁的中学生霍尔顿·考菲尔德是当代美国文学中最早出现的反英雄形象之一，霍尔顿出身中纽约一个富裕的中产阶级家庭。学校里的老师和自己的家长强迫他好好读书，为的是出人头地，以便将来买辆凯迪拉克，而在学校里一天到晚干的，就是谈女人，酒和性，他看不惯周围的一切， 根本没心思用功读书，因而老是挨罚，到他第四次被开除时，他不敢回家。便只身在美国最繁华的纽约城游荡了一天两夜，住小客店，逛夜总会滥交女友他在电影院里百无聊赖地消磨时光，糊里糊涂地召了妓女，情不自禁的与虚荣的女友搂搂抱抱，与此同时，他的内心又十分苦闷，企图逃出虚伪的成人世界去寻批纯洁与真理的经历与感受。这种精神上无法调和的极度矛盾最终令他彻底崩溃，躺倒在精神病院里。",https://dou.img.lithub.cc/book/2053249.jpg,2007-3,https://book.douban.com/subject/2053249/,8.1,,,,,2024-03-14 13:03:29,[美国] J. D. 塞林格 / 2007 / 译林出版社
1060774,君主论,作者马基雅维里（1469—1527），近代政治思想的主要奠基人。在中世纪后期的政治思想家中，马基雅维里第一个明显地摆脱了神学和伦理学的束缚，为政治学和法学开辟了走向独立学科的道路。本书是马基雅维里的代表作，被誉为“一本毁誉参半的奇书，一直被奉为欧洲历代君主的案头之书，政治家的最高指南，统治阶级巩固其统治的治国原则，人类有史以来对政治斗争技巧最独到最精辟的解剖”。本书自1532年开始印行，迄今480多年，被西方评论界列为是与《圣经》《资本论》等相提并论的、影响人类历史的十部著作之一。,https://dou.img.lithub.cc/book/1060774.jpg,2005-10,https://book.douban.com/subject/1060774/,8.7,,,,,2024-03-14 13:03:23,[意]尼科洛·马基雅维里 / 2005 / 商务印书馆
在沈佳仪的监督和鼓励下，柯景腾的成绩就像芝麻开花节节高，渐渐地，他也喜欢上了气质优雅的沈佳仪。但是柯景腾却不敢向心爱的女生表白，因为几乎被所有男生喜欢的沈佳仪对追求她的男生一律有一种反感，她只想好好学习，不希望别人介入自己的生活。
但是，为何沈佳仪唯独愿意把心事与柯景腾分享呢？她对他究竟有没有别样的感觉呢？柯景腾暗恋沈佳仪八年最终能否修得正果呢？让我们走进《那些年，我们一起追过的女孩》，一起来寻找最纯真的感动吧！",https://dou.img.lithub.cc/book/1958227.jpg,2007-1,https://book.douban.com/subject/1958227/,8.1,,,,,2024-03-14 13:03:03,九把刀 / 2007 / 花山文艺出版社
20441957,兄弟,《余华作品:兄弟》是余华作品。《余华作品:兄弟》讲述了这是两个时代相遇以后出生的小说，前一个是文革中的故事，那是一个精神狂热、本能压抑和命运惨烈的时代，相当于欧洲的中世纪；后一个是现在的故事，那是一个伦理颠覆、浮躁纵欲和众生万象的时代，更甚于今天的欧洲。一个西方人活四百年才能经历这样两个天壤之别的时代，一个中国人只需四十年就经历了。四百年间的动荡万变浓缩在了四十年之中，这是弥足珍贵的经历。连结这两个时代的纽带就是这兄弟两人，他们的生活在裂变中裂变，他们的悲喜在爆发中爆发，他们的命运和这两个时代一样地天翻地覆，最终他们必须恩怨交集地自食其果。,https://dou.img.lithub.cc/book/20441957.jpg,2012-9-1,https://book.douban.com/subject/20441957/,8.5,,,,,2024-03-14 13:02:59,余华 / 2012 / 作家出版社
1841531,鲁滨孙漂流记,,https://dou.img.lithub.cc/book/1841531.jpg,1978,https://book.douban.com/subject/1841531/,8.4,,,,,2024-03-14 13:02:44,笛福 / 1978 / 人民文学出版社
1013416,雷雨,《雷雨》所展示的是一幕人生大悲剧，是命运对人残忍的作弄。专制、伪善的家长，热情、单纯的青年，被情爱烧疯了心的魅惑的女人，痛悔着罪孽却又不自知地犯下更大罪孽的公子哥，还有家庭的秘密，身世的秘密，所有这一切在一个雷雨夜爆发。有罪的，无辜的人一起走向毁灭。曹禺以极端的雷雨般狂飙恣肆的方式，发泄被抑压的愤懑，毁谤中国的家庭和社会。,https://dou.img.lithub.cc/book/1013416.jpg,1999-05,https://book.douban.com/subject/1013416/,8.7,,,,,2024-03-14 13:02:42,曹禺 / 1999 / 人民文学出版社
1200840,平凡的世界（全三部）,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广阔背景下，通过复杂的矛盾纠葛，刻划社会各阶层众多普通人的形象。劳动与爱情，挫折与追求，痛苦与欢乐，日常生活与巨大社会冲突，纷繁地交织在一起，深刻地展示了普通人在大时代历史进程中所走过的艰难曲折的道路。,https://dou.img.lithub.cc/book/1200840.jpg,2005-1,https://book.douban.com/subject/1200840/,9,,,,,2024-03-14 13:02:41,路遥 / 2005 / 人民文学出版社
1088065,阿Q正传,《阿Q正传》讲述值此世纪末，衷心祈愿这里所议论的人物在下一世纪的中国现实生活中淡出；当然，作为光辉的典型人物，他将和哈姆雷特、唐·吉诃德等不朽的名字一样万古不朽。阿Q，是一个卑微渺小的人物，但却是一个巨大的名字。我不说：“伟大”而说“巨大”，是因为这个小人物的确称不上伟大，但这个名字的历史的和美学的涵容量却真是巨大得无比，我想不出世界任何一个文学人物能有阿Q那样巨大的概括性，把几亿人都涵盖进去。几乎每个中国人，你，我，他，都有阿Q的灵魂的因子。阿Q是一个“做奴隶而不可得的时代”的奴隶，比“做稳了奴隶的时代”的奴隶更可悲。做不稳，就要挣扎。他的挣扎当然不可能有过五关、斩六将或爬雪山、过草地那样的英雄事业，但作为一个小人物，他的一生也够悲壮的了。使阿Q的一生焕发悲壮的光采的是，他不仅呈现了清末民初的一个普通百姓的灵魂，几千年来成群而生、成群而死的默默的生长和枯死的灵魂；更是藉着这个灵魂的勾勒，多方面地全国民性的痼疾爆了光。阿Q虽然枪毙了，但他的阴魂不散，时时附在中国人的身上。因为痼疾的病灶埋藏得既深且久，不时复发，至少在本世纪还是常见病和多发病。但愿即将降临的新世纪，这个人物在中国淡出，只留下无与伦比的形象在艺苑中永生。这肯定也是创造这一典型人物的鲁迅的夙愿。,https://dou.img.lithub.cc/book/1088065.jpg,2003-7,https://book.douban.com/subject/1088065/,8.8,,,,,2024-03-14 13:02:35,鲁迅 著 丰子恺 绘 / 2003 / 上海书店出版社
